Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
500086,EXIDEIND,A,180.00,184.80,178.00,181.75,898420,1641.64,11128
532777,NAUKRI,A,4273.65,4339.85,4146.00,4154.15,38703,1624.88,5868
539336,GUJGAS,A,490.95,515.00,484.90,513.45,314607,1591.79,7476
543458,AWL,B,667.10,674.00,665.10,668.00,237307,1589.88,11101
543390,POLICYBZR,A,388.25,405.60,373.30,388.35,404471,1584.47,10229
541450,ADANIGREEN,A,2165.05,2212.00,2165.05,2195.75,67738,1480.33,3352
500294,NCC,A,73.90,78.50,73.45,78.25,1919963,1470.90,10534
532488,DIVISLAB,A,3299.95,3330.00,3280.00,3326.00,44201,1461.63,4341
500520,M&M,A,1280.00,1296.20,1275.25,1291.90,113069,1452.96,2166
500247,KOTAKBANK,A,1923.00,1932.35,1896.00,1913.45,75236,1437.94,2374
532898,POWERGRID,A,210.00,216.60,210.00,215.90,656551,1396.32,3998
532461,PNB,A,43.85,44.30,43.60,43.95,3175990,1393.88,6690
542726,INDIAMART,A,4631.00,4741.80,4631.00,4702.30,29619,1393.08,1982
532281,HCLTECH,A,1090.15,1106.00,1088.90,1103.55,126675,1391.61,1918
543237,MAZDOCK,A,801.00,853.00,797.20,837.90,166871,1375.33,5530
543257,IRFC,A,24.90,25.55,24.85,25.20,5406664,1362.02,7665
538970,WARDINMOBI,B,54.60,62.50,54.40,58.35,2293484,1352.02,5107
542066,ATGL,A,3872.00,3910.00,3811.60,3887.35,34821,1345.30,1588
500290,MRF,A,86585.00,87900.00,86585.00,87607.00,1423,1244.08,548
533398,MUTHOOTFIN,A,1078.05,1126.25,1077.45,1119.80,112305,1239.60,6152
540065,RBLBANK,A,144.50,146.30,143.75,145.15,849373,1231.95,5652
541154,HAL,A,2492.00,2532.00,2460.60,2523.10,48620,1216.72,4029
517334,MOTHERSON,A,73.05,74.25,72.35,74.00,1648057,1212.78,8255
500295,VEDL,A,315.00,319.40,312.35,318.55,382616,1207.33,4490
500114,TITAN,A,2648.00,2667.55,2621.20,2657.05,45436,1200.34,1484
508869,APOLLOHOSP,A,4528.05,4630.00,4528.05,4609.60,25643,1172.16,3034
532368,BCG,A,39.45,39.50,36.90,37.50,3106191,1171.19,8624
